Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-2019,ADANIPORTS,EQ,387.7,386.3,390.9,384.05,390.6,389,386.49,1233249,4.77E+13,11481,102905,0.0834
02-01-2019,ADANIPORTS,EQ,389,388,388.95,378,381,381.3,383.82,1506543,5.78E+13,17571,181941,0.1208
03-01-2019,ADANIPORTS,EQ,381.3,382.4,385.3,376.6,376.95,378.1,380.35,1902063,7.23E+13,37419,333534,0.1754
04-01-2019,ADANIPORTS,EQ,378.1,378.65,383.95,375.85,383.5,382.15,380.4,1669709,6.35E+13,32438,269743,0.1616
07-01-2019,ADANIPORTS,EQ,382.15,385,386.95,379.35,379.75,381.65,382.81,1260331,4.82E+13,15401,349389,0.2772
08-01-2019,ADANIPORTS,EQ,381.65,383,383,375.75,379.1,378.75,378.56,2154121,8.15E+13,26982,973157,0.4518
09-01-2019,ADANIPORTS,EQ,378.75,382,382,373.3,376.35,377.3,377.79,1166498,4.41E+13,19034,239515,0.2053
10-01-2019,ADANIPORTS,EQ,377.3,377.95,381.8,376.95,380,380.25,379.92,1286641,4.89E+13,20679,532279,0.4137
11-01-2019,ADANIPORTS,EQ,380.25,380.3,381,375.1,375.6,377.15,377.52,1829555,6.91E+13,19532,1117382,0.6107
14-01-2019,ADANIPORTS,EQ,377.15,377,377,372.4,373.7,374.45,374.42,927301,3.47E+13,20836,301336,0.325
15-01-2019,ADANIPORTS,EQ,374.45,375,386,375,385,385.15,381.04,1965520,7.49E+13,35959,727502,0.3701
16-01-2019,ADANIPORTS,EQ,385.15,385.3,390.7,379.2,389.65,389.3,384.21,2847403,1.09E+14,39728,1097063,0.3853
17-01-2019,ADANIPORTS,EQ,389.3,391.2,395.45,386.5,393.6,394.5,391.45,4156932,1.63E+14,45909,1457422,0.3506
18-01-2019,ADANIPORTS,EQ,394.5,396.5,399.95,392.25,398.7,399.3,397.03,3617922,1.44E+14,46565,916353,0.2533
21-01-2019,ADANIPORTS,EQ,399.3,397.5,402.7,392.1,395.35,396.2,397.14,2563705,1.02E+14,45927,584155,0.2279
22-01-2019,ADANIPORTS,EQ,396.2,393.4,394.7,387.1,390.5,390.6,390.86,3328908,1.30E+14,61281,1691316,0.5081
23-01-2019,ADANIPORTS,EQ,390.6,390,392,383.6,384.5,385.2,387.52,3653992,1.42E+14,55896,1911180,0.523
24-01-2019,ADANIPORTS,EQ,385.2,386,386.5,377.6,381.5,380.95,380.84,3633336,1.38E+14,56051,2130627,0.5864
25-01-2019,ADANIPORTS,EQ,380.95,382.5,383.75,372.25,374.45,373.85,379.48,4760625,1.81E+14,74433,2431635,0.5108
